category,name,level,detail
Programming,Python,Advanced,"Data manipulation, modelling and simulation"
Programming,R,Advanced,"Data modelling, statistical analysis and visualisation"
Data,SQL,Advanced,"Data extraction and analytical queries"
Data,Power BI,Working,"Interactive reporting and dashboards"
Modelling,Regression,Strong,"Linear models and regularisation"
Modelling,Ridge/Lasso,Strong,"Penalised model selection"
Modelling,Random Forest,Working,"Tree-based prediction"
Modelling,PCA,Working,"Dimensionality reduction"
Modelling,KNN,Working,"Similarity-based classification"
Modelling,Time Series,Working,"Trend, seasonality, forecasting"
Statistics,Survey Sampling,Working,"Weighted descriptive analysis"
Languages,French,Native,"Native speaker"
Languages,English,C1,"IELTS Band 7.5"
Languages,Spanish,A2,"Basic knowledge"
Languages,Chinese,A1,"Beginner"
